Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C","C_0805_2012Metric",102.500000,-100.000000,90.000000,bottom
"R1","R","R_0805_2012Metric",103.800000,-103.800000,-0.000000,bottom
